Source ID,MUV,log10Mstar,oiiihbeta,MUV_low,log10Mstar_low,oiiihbeta_low,z,z_up,z_low,MUV_up,log10Mstar_up,oiiihbeta_up
COS-87259,-21.7,10.2,330.290,0.1,1.1,160,6.66,0.14,0.06,0.1,0.6,330.290
COS-237729,-21.1,8.8,550.560,0.1,0.7,360,6.87,0.13,0.10,0.1,0.7,550.560
COS-312533,-21.3,8.9,430.470,0.1,0.6,250,6.85,0.08,0.09,0.1,0.6,430.470
COS-369353,-21.3,9.0,1060.500,0.1,0.5,400,6.71,0.06,0.05,0.1,0.7,1060.500
COS-378785,-21.4,8.4,620.670,0.1,0.3,330,6.78,0.12,0.08,0.1,0.6,620.670
COS-469110,-21.6,9.2,640.420,0.1,0.8,330,6.63,0.09,0.02,0.1,0.6,640.420
COS-486435,-20.8,9.0,610.500,0.1,0.5,300,6.75,0.08,0.07,0.1,0.6,610.500
COS-505871,-21.2,10.2,220.350,0.1,1.7,160,6.63,0.11,0.05,0.1,0.1,220.350
COS-627785,-21.5,8.6,1100.720,0.1,0.4,510,6.66,0.05,0.03,0.1,0.6,1100.720
COS-703599,-21.1,8.6,870.630,0.1,0.4,370,6.65,0.08,0.04,0.1,1.1,870.630
COS-759861,-22.4,9.7,390.240,0.0,0.9,190,6.69,0.03,0.03,0.0,0.3,390.240
COS-788571,-21.5,8.5,1360.910,0.1,0.4,550,6.63,0.02,0.02,0.1,0.4,1360.910
COS-857605,-21.3,9.3,310.290,0.1,0.6,190,6.77,0.09,0.08,0.1,0.4,310.290
COS-862541,-22.5,8.8,2250.880,0.1,0.3,610,6.72,0.04,0.04,0.1,0.5,2250.880
COS-1099982,-21.6,8.5,2130.730,0.1,0.3,460,6.67,0.03,0.02,0.1,0.6,2130.730
COS-1136216,-21.8,8.5,920.390,0.1,0.3,370,6.63,0.03,0.01,0.1,0.7,920.390
COS-1224137,-22.3,9.1,370.190,0.1,0.5,140,6.78,0.06,0.06,0.1,0.7,370.190
COS-1235751,-21.3,9.6,300.250,0.1,0.8,180,6.74,0.09,0.07,0.1,0.4,300.250
COS-1387948,-21.8,10.6,110.160,0.1,2.0,100,6.62,0.02,0.01,0.1,0.2,110.160
XMM1-88011,-22.0,9.0,390.370,0.1,0.6,220,6.71,0.07,0.06,0.1,0.6,390.370
XMM1-232713,-21.5,8.9,260.340,0.1,0.6,200,6.91 ,0.13,0.16,0.1,0.5,260.340
XMM1-368448,-21.5,8.6,450.450,0.1,0.5,270,6.81 ,0.11,0.09,0.1,0.9,450.450
GN-2781,-20.3,8.1,440.500,0.1,0.5,260,6.60,0.21,0.14,0.2,0.9,440.500
GN-3751,-21.8,8.6,780.500,0.1,0.3,360,7.35,0.12,0.13,0.1,0.6,780.500
GN-8480,-20.4,8.7,320.410,0.1,0.8,210,6.96,0.23,0.23,0.1,0.5,320.410
GN-18892,-19.8,8.2,460.520,0.1,0.6,290,7.04,0.25,0.18,0.1,0.7,460.520
GN-19314,-20.4,8.1,870.570,0.1,0.4,420,6.73,0.07,0.07,0.1,0.8,870.570
GN-22985,-20.0,8.9,270.310,0.2,0.8,200,6.60,0.50,0.21,0.2,0.6,270.310
GN-23420,-20.1,8.7,640.600,0.1,0.7,380,6.77,0.10,0.12,0.1,0.6,640.600
GN-26244,-20.5,8.3,940.620,0.1,0.4,480,6.80,0.05,0.06,0.1,1.0,940.620
GN-28450,-20.1,10.0,110.790,0.1,1.5,80,6.48,0.10,0.10,0.1,0.1,110.790
GN-29429,-20.8,10.1,190.330,0.1,1.9,140,6.77,0.09,0.10,0.1,0.2,190.330
GN-30721,-21.2,8.8,960.370,0.1,0.4,270,6.78,0.04,0.04,0.1,0.7,960.370
GN-33116,-19.7,8.5,6240.1540,0.3,0.2,3450,7.64,0.38,0.52,0.5,0.4,6240.1540
GN-33483,-20.2,8.9,290.360,0.2,0.9,190,6.93,0.31,0.26,0.2,0.6,290.360
GN-47978,-20.3,8.5,530.490,0.1,0.8,320,6.74,0.10,0.10,0.1,0.7,530.490
GN-55562,-20.1,8.3,2240.2180,0.1,0.4,1050,6.61,0.12,0.11,0.1,0.5,2240.2180
GN-59366,-20.6,8.6,600.450,0.1,0.7,370,6.79,0.08,0.07,0.1,0.7,600.450
GN-61505,-20.2,8.3,380.340,0.1,0.6,240,6.68,0.32,0.16,0.1,0.6,380.340
GN-61545,-20.6,8.2,1220.710,0.1,0.4,440,6.77,0.04,0.06,0.1,1.0,1220.710
GN-63360,-19.9,9.1,280.460,0.2,1.0,210,6.86,0.21,0.17,0.2,0.4,280.460
GN-63408,-21.4,8.5,1500.770,0.1,0.2,550,7.22,0.13,0.12,0.1,0.3,1500.770
GN-64262,-20.5,9.1,470.450,0.1,1.2,290,6.67,0.09,0.08,0.1,0.4,470.450
GN-66168,-21.9,8.9,370.150,0.0,0.5,120,6.80,0.04,0.04,0.0,1.0,370.150
GN-67013,-19.9,8.0,400.410,0.2,0.5,230,6.63,0.40,0.17,0.2,0.8,400.410
GS-897,-20.3,8.0,810.670,0.1,0.3,430,7.32 ,0.19,0.18,0.1,0.6,810.670
GS-1656,-20.6,9.2,220.280,0.1,1.4,180,6.94,0.12,0.12,0.1,0.3,220.280
