#ID  stellarM_bestfit  stellarM_median  stellarM_CL68min  stellarM_CL68max  EWhb_bestfit  EWhb_median  EWhb_CL68min  EWhb_CL68max  EWoiii4959_bestfit  EWoiii4959_median  EWoiii4959_CL68min  EWoiii4959_CL68max  EWoiii5007_bestfit  EWoiii5007_median  EWoiii5007_CL68min  EWoiii5007_CL68max
 1.0374e+04  4.888e+08  7.543e+08  2.844e+08  2.306e+09  3.364e+02  2.197e+02  1.049e+02  4.626e+02  5.885e+00  3.132e+01  4.760e+00  1.529e+02  1.818e+01  9.705e+01  1.475e+01  4.730e+02
 1.0375e+04  2.243e+08  5.383e+08  2.611e+08  2.027e+09  5.524e+02  3.032e+02  1.305e+02  5.463e+02  1.329e+02  1.808e+01  5.249e+00  9.826e+01  4.067e+02  5.566e+01  1.625e+01  3.018e+02
 1.0381e+04  7.440e+08  7.444e+08  7.417e+08  8.922e+08  5.780e+02  5.603e+02  5.522e+02  5.806e+02  2.073e+01  1.827e+01  1.689e+01  2.073e+01  6.349e+01  5.596e+01  5.180e+01  6.348e+01
 1.0382e+04  3.869e+08  3.309e+09  5.874e+08  6.160e+09  5.500e+02  1.093e+02  6.559e+01  2.994e+02  5.764e+02  1.317e+02  4.414e+01  3.320e+02  1.711e+03  4.098e+02  1.378e+02  1.027e+03
 1.0383e+04  7.811e+08  1.234e+09  6.289e+08  2.855e+09  5.634e+02  2.167e+02  1.272e+02  4.059e+02  5.481e+02  4.138e+02  2.951e+02  6.161e+02  1.687e+03  1.276e+03  9.148e+02  1.883e+03
 1.0384e+04  7.249e+08  1.388e+09  8.069e+08  4.638e+09  5.706e+02  2.924e+02  1.523e+02  5.138e+02  1.491e+02  1.718e+01  5.051e+00  9.661e+01  4.574e+02  5.294e+01  1.566e+01  2.967e+02
 1.0391e+04  1.278e+08  7.304e+08  1.798e+08  1.725e+09  3.857e+02  1.551e+02  8.467e+01  3.311e+02  3.805e+02  1.682e+02  4.911e+01  3.489e+02  1.173e+03  5.216e+02  1.519e+02  1.078e+03
 1.0392e+04  4.207e+08  6.430e+08  3.271e+08  2.593e+09  5.621e+02  3.001e+02  1.062e+02  5.520e+02  2.020e+01  1.808e+01  4.856e+00  1.007e+02  6.193e+01  5.566e+01  1.506e+01  3.099e+02
 1.0393e+04  1.056e+08  2.305e+08  1.204e+08  4.098e+08  4.466e+02  2.394e+02  1.643e+02  4.466e+02  1.657e+02  1.858e+02  1.778e+01  3.117e+02  5.082e+02  5.739e+02  5.465e+01  9.660e+02
 2.0433e+04  1.725e+09  1.335e+09  3.185e+08  2.745e+09  5.099e+01  1.219e+02  6.765e+01  2.765e+02  1.278e+02  1.644e+02  7.800e+01  3.250e+02  3.971e+02  5.100e+02  2.425e+02  1.005e+03
