#ID  stellarM_bestfit  stellarM_median  stellarM_CL68min  stellarM_CL68max  EWhb_bestfit  EWhb_median  EWhb_CL68min  EWhb_CL68max  EWoiii4959_bestfit  EWoiii4959_median  EWoiii4959_CL68min  EWoiii4959_CL68max  EWoiii5007_bestfit  EWoiii5007_median  EWoiii5007_CL68min  EWoiii5007_CL68max
 1.0374e+04  3.327e+08  7.059e+08  2.386e+08  2.157e+09  5.630e+02  2.417e+02  1.085e+02  4.896e+02  9.014e+00  4.215e+01  5.493e+00  1.809e+02  2.759e+01  1.303e+02  1.698e+01  5.584e+02
 1.0375e+04  1.792e+08  5.130e+08  2.477e+08  2.109e+09  5.988e+02  3.146e+02  1.450e+02  5.701e+02  1.700e+02  1.964e+01  5.845e+00  1.049e+02  5.215e+02  6.045e+01  1.809e+01  3.215e+02
 1.0381e+04  6.675e+08  6.678e+08  6.657e+08  6.811e+08  6.014e+02  6.038e+02  5.993e+02  6.193e+02  1.859e+01  1.875e+01  1.817e+01  2.215e+01  5.689e+01  5.734e+01  5.556e+01  6.771e+01
 1.0382e+04  2.775e+08  2.871e+09  3.772e+08  5.689e+09  6.234e+02  1.276e+02  7.393e+01  3.764e+02  7.444e+02  1.709e+02  7.807e+01  4.428e+02  2.310e+03  5.311e+02  2.429e+02  1.362e+03
 1.0383e+04  5.270e+08  1.280e+09  5.297e+08  3.568e+09  3.496e+02  2.211e+02  1.225e+02  4.296e+02  6.271e+02  4.290e+02  2.866e+02  6.709e+02  1.930e+03  1.320e+03  8.882e+02  2.055e+03
 1.0384e+04  6.447e+08  1.808e+09  7.599e+08  5.706e+09  6.552e+02  2.680e+02  1.246e+02  5.367e+02  1.688e+02  2.116e+01  4.355e+00  9.385e+01  5.177e+02  6.548e+01  1.348e+01  2.892e+02
 1.0391e+04  1.047e+09  6.982e+08  1.685e+08  1.644e+09  1.496e+02  1.557e+02  8.455e+01  3.522e+02  1.587e+02  1.845e+02  6.947e+01  3.848e+02  4.906e+02  5.719e+02  2.159e+02  1.189e+03
 1.0392e+04  2.961e+08  4.235e+08  2.700e+08  2.285e+09  6.292e+02  3.715e+02  1.388e+02  6.110e+02  2.251e+01  2.147e+01  6.614e+00  1.171e+02  6.881e+01  6.613e+01  2.041e+01  3.593e+02
 1.0393e+04  2.431e+08  2.079e+08  1.128e+08  3.994e+08  1.949e+02  2.342e+02  1.544e+02  4.405e+02  2.736e+02  2.328e+02  6.097e+01  3.472e+02  8.505e+02  7.134e+02  1.870e+02  1.073e+03
 2.0433e+04  1.756e+09  1.363e+09  2.875e+08  2.802e+09  5.424e+01  1.315e+02  6.894e+01  3.117e+02  1.358e+02  1.685e+02  7.861e+01  3.472e+02  4.214e+02  5.226e+02  2.440e+02  1.071e+03
 2.0440e+04  6.786e+07  3.465e+08  9.666e+07  9.770e+08  5.494e+02  1.936e+02  1.016e+02  4.201e+02  5.157e+02  6.773e+01  5.489e+00  2.505e+02  1.564e+03  2.097e+02  1.697e+01  7.730e+02
 2.0443e+04  5.356e+07  8.491e+07  5.188e+07  2.512e+08  5.643e+02  3.690e+02  2.179e+02  5.839e+02  1.616e+01  1.423e+01  6.525e+00  7.539e+01  4.944e+01  4.360e+01  2.008e+01  2.313e+02
 2.0447e+04  6.586e+07  2.387e+08  8.085e+07  8.424e+08  5.161e+02  1.932e+02  9.633e+01  3.831e+02  8.412e+02  3.005e+02  1.288e+02  5.712e+02  2.590e+03  9.284e+02  3.996e+02  1.755e+03
 2.0449e+04  6.180e+09  4.059e+09  7.806e+08  6.768e+09  1.206e+02  1.475e+02  9.099e+01  3.154e+02  2.381e+00  2.236e+01  2.617e+00  1.707e+02  7.394e+00  6.933e+01  8.111e+00  5.279e+02
 2.0457e+04  2.090e+08  2.242e+08  1.930e+08  2.997e+08  6.292e+02  6.119e+02  5.149e+02  6.498e+02  2.251e+01  2.128e+01  1.533e+01  1.280e+02  6.881e+01  6.508e+01  4.695e+01  3.910e+02
 2.0461e+04  2.381e+09  1.175e+09  2.674e+08  2.038e+09  6.082e+01  1.505e+02  8.838e+01  3.528e+02  3.956e+01  4.820e+01  3.784e+00  1.831e+02  1.230e+02  1.488e+02  1.174e+01  5.653e+02
 2.0462e+04  2.165e+08  3.893e+08  1.699e+08  1.396e+09  6.412e+02  2.829e+02  1.321e+02  5.223e+02  1.258e+01  1.733e+01  4.567e+00  8.918e+01  3.843e+01  5.334e+01  1.411e+01  2.743e+02
 2.0463e+04  2.407e+08  3.122e+08  1.701e+08  9.092e+08  3.983e+02  3.859e+02  2.077e+02  6.006e+02  1.251e+01  1.775e+01  7.165e+00  1.037e+02  3.839e+01  5.432e+01  2.211e+01  3.172e+02
 2.0467e+04  2.712e+08  3.841e+08  2.788e+08  4.429e+08  5.988e+02  5.522e+02  3.919e+02  6.287e+02  1.700e+02  2.165e+01  1.251e+01  1.390e+02  5.215e+02  6.626e+01  3.843e+01  4.249e+02
 2.0468e+04  6.669e+08  8.592e+08  6.572e+08  9.701e+08  6.202e+02  5.570e+02  3.849e+02  6.306e+02  1.593e+02  1.142e+02  1.548e+01  1.796e+02  4.897e+02  3.491e+02  4.743e+01  5.508e+02
