logMstar logphistar M1500 logphi1500 MB logphiB MJ logphiJ
3.81 0.97 -21.39 -3.89 -21.07 -4.14 -21.40 -4.34
4.42 0.60 -19.82 -3.17 -19.54 -3.05 -19.82 -3.23
5.04 0.32 -18.24 -2.54 -18.00 -2.45 -18.24 -2.47
5.65 -0.16 -16.67 -1.92 -16.46 -1.88 -16.67 -1.92
6.26 -0.63 -15.09 -1.26 -14.92 -1.25 -15.09 -1.32
6.88 -1.20 -13.52 -0.75 -13.38 -0.74 -13.52 -0.75
7.49 -1.68 -11.94 -0.37 -11.85 -0.26 -11.94 -0.25
8.11 -2.32 -10.36 -0.04 -10.31 0.05 -10.37 0.13
8.72 -2.99 -8.79 0.26 -8.77 0.46 -8.79 0.50
9.33 -4.00
